Parameter,Depth,Start_Date,End_Date,counts,min,median,mean,max
BGA,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.1899999976158142,0.15318664900087578,0.3100000023841858
BGA,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.1899999976158142,0.15309751192212315,0.27000001072883606
BGA,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.17999999225139618,0.1447741977371572,0.20999999344348907
BGA,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.25999999046325684,0.20880469622461828,0.25999999046325684
BGA,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.17999999225139618,0.1447086873420428,0.20999999344348907
BGA,STP6,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.1599999964237213,0.12868603053320454,0.17999999225139618
Conductivity,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.38692867633627,91.9000015258789
Conductivity,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.3872723370728,92.19999694824219
Conductivity,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.37817606843772,89.9000015258789
Conductivity,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.37784314858429,89.9000015258789
Conductivity,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.37815458503285,89.9000015258789
Conductivity,STP6,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,89.9000015258789,72.38271884091692,90.10000610351562
Depth,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.9399999976158142,0.7613354434002638,14.9399995803833
Depth,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,11.029999732971191,8.881147561137059,11.170000076293945
Depth,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,21.079999923706055,16.97289152436768,21.170000076293945
Depth,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,31.110000610351562,25.0483082270114,31.130001068115234
Depth,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,41.060001373291016,33.05991357759202,41.130001068115234
Depth,STP6,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,51.040000915527344,41.09550522101308,51.38999938964844
ODO,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.0,0.005825054912467792,10.960000038146973
ODO,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.0,0.006352359943997237,11.90999984741211
ODO,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.0,0.009958653229043261,18.59000015258789
ODO,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,0.0,0.010990710428243343,20.479999542236328
ODO,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,41.060001373291016,33.05991357759202,41.130001068115234
ODO,STP6,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,51.040000915527344,41.09550522101308,51.38999938964844
ORP,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-239.0,-205.4000244140625,-165.39128313943843,0.0
ORP,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-607.2000122070312,401.89990234375,323.0356974236878,404.89990234375
ORP,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-594.5999755859375,402.0999755859375,323.2356916246433,404.89990234375
ORP,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-593.5999755859375,402.5,323.5656634076085,405.4000244140625
ORP,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-591.5999755859375,402.5,323.57611285708794,407.4000244140625
ORP,STP6,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,-590.0,401.5,322.78481714977573,409.0
PH,STP1,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,6.920000076293945,5.572758478591657,7.949999809265137
PH,STP2,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,6.920000076293945,5.572370785683136,7.289999961853027
PH,STP3,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,6.920000076293945,5.571229186419328,6.930000305175781
PH,STP4,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,6.930000305175781,5.579445285609692,6.960000038146973
PH,STP5,2020-01-01 01:00:00,2024-03-31 23:00:00,37246,0.0,6.920000076293945,5.571440753097956,6.930000305175781
